od_no,o_zone_id,d_zone_id,o_zone_agent_type_cover_flag,d_zone_agent_type_cover_flag,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,sensor_flag,toll,travel_time,VDF_travel_time,travel_time_without_access_link,#_of_nodes,distance_kmOD0,OD1,OD2,OD3,OD4,OD5,OD6,OD7,OD8,OD9,OD10,OD11,OD12,OD13,OD14,OD15,OD16,OD17,OD18,OD19,
71,2,17,0,0,0,0,sov,PM,71.06,0,1,1,0.0,20.1,20.1462,20.1462,22,10.3463,42.220001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
72,2,19,0,0,0,0,sov,PM,258.91,0,1,1,0.0,5.2,5.2499,5.2499,7,2.2018,89.660004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
73,2,602,0,0,0,0,sov,PM,2.59,0,1,1,0.0,24.6,24.5700,24.5700,24,10.8682,1.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
74,2,615,0,0,0,0,sov,PM,2.86,0,1,1,0.0,32.2,32.2056,32.2056,17,11.7442,21.389999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
75,2,615,0,0,1,0,sov,PM,32.46,0,1,1,0.0,24.4,24.3544,24.3544,23,12.1863,21.389999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
76,2,617,0,0,0,0,sov,PM,70.70,0,1,1,0.0,23.4,23.3862,23.3862,24,11.9281,42.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
77,2,619,0,0,0,0,sov,PM,67.17,0,1,1,0.0,20.3,20.2886,20.2886,21,9.7964,40.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
78,2,620,0,0,0,0,sov,PM,0.90,0,1,1,0.0,27.4,27.4146,27.4146,15,9.4608,44.830002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
79,2,620,0,0,1,0,sov,PM,91.07,0,1,1,0.0,18.2,18.2152,18.2152,19,8.3716,44.830002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
80,2,621,0,0,0,0,sov,PM,74.02,0,1,1,0.0,16.6,16.5563,16.5563,15,7.7081,44.830002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
