link_id,from_node_id,to_node_id,from_cell_code,time_period,volume,background_volume,major_path_volume,ratio_of_major_path_flow,geometry,notes
201340AB,621,202581,,1500_1800,11.313,0.000,11.313,1.000,"LINESTRING (-112.425309 33.669162, -112.415388 33.671346)",
201340BA,202581,621,,0600_0900,1685.509,0.000,1685.509,1.000,"LINESTRING (-112.416078 33.674476, -112.425999 33.672292)",
201340BA,202581,621,,1000_1500,20.800,0.000,20.800,1.000,"LINESTRING (-112.416078 33.674476, -112.425999 33.672292)",
201340BA,202581,621,,1500_1800,11.677,0.000,11.677,1.000,"LINESTRING (-112.416078 33.674476, -112.425999 33.672292)",
201341AB,623,202731,,0600_0900,1486.469,0.000,1486.469,1.000,"LINESTRING (-112.401024 33.664480, -112.399675 33.668371)",
201341AB,623,202731,,1000_1500,21.523,0.000,21.523,1.000,"LINESTRING (-112.401024 33.664480, -112.399675 33.668371)",
201341AB,623,202731,,1500_1800,12.084,0.000,12.084,1.000,"LINESTRING (-112.401024 33.664480, -112.399675 33.668371)",
201341BA,202731,623,,0600_0900,1713.567,0.000,1713.567,1.000,"LINESTRING (-112.402703 33.669421, -112.404052 33.665530)",
201341BA,202731,623,,1000_1500,22.616,0.000,22.616,1.000,"LINESTRING (-112.402703 33.669421, -112.404052 33.665530)",
201341BA,202731,623,,1500_1800,12.697,0.000,12.697,1.000,"LINESTRING (-112.402703 33.669421, -112.404052 33.665530)",
201342AB,202580,202734,,0600_0900,13401.596,0.000,13401.596,1.000,"LINESTRING (-112.403681 33.678417, -112.396583 33.672891)",
201342AB,202580,202734,,1000_1500,180.763,0.000,180.763,1.000,"LINESTRING (-112.403681 33.678417, -112.396583 33.672891)",
201342AB,202580,202734,,1500_1800,101.483,0.000,101.483,1.000,"LINESTRING (-112.403681 33.678417, -112.396583 33.672891)",
201342BA,202734,202580,,0600_0900,3772.126,0.000,3772.126,1.000,"LINESTRING (-112.394613 33.675421, -112.401711 33.680947)",
